From	To	Freq
[0,0.2)	[0,0.2)	147328
[0,0.2)	[0.2,0.4)	58111
[0,0.2)	[0.4,0.6)	26929
[0,0.2)	[0.6,0.8)	10230
[0,0.2)	[0.8,1.0]	3560
[0.2,0.4)	[0,0.2)	57037
[0.2,0.4)	[0.2,0.4)	51584
[0.2,0.4)	[0.4,0.6)	31873
[0.2,0.4)	[0.6,0.8)	14326
[0.2,0.4)	[0.8,1.0]	5023
[0.4,0.6)	[0,0.2)	30502
[0.4,0.6)	[0.2,0.4)	36929
[0.4,0.6)	[0.4,0.6)	34322
[0.4,0.6)	[0.6,0.8)	19871
[0.4,0.6)	[0.8,1.0]	7960
[0.6,0.8)	[0,0.2)	13718
[0.6,0.8)	[0.2,0.4)	19877
[0.6,0.8)	[0.4,0.6)	25704
[0.6,0.8)	[0.6,0.8)	26108
[0.6,0.8)	[0.8,1.0]	13743
[0.8,1.0]	[0,0.2)	5957
[0.8,1.0]	[0.2,0.4)	9741
[0.8,1.0]	[0.4,0.6)	15323
[0.8,1.0]	[0.6,0.8)	27472
[0.8,1.0]	[0.8,1.0]	31750
